epoch_sec,completed_in_bin,cumulative_completed
1758198737,0,0
1758198738,0,0
1758198739,0,0
1758198740,0,0
1758198741,0,0
1758198742,0,0
1758198743,0,0
1758198744,0,0
1758198745,0,0
1758198746,0,0
1758198747,0,0
1758198748,0,0
1758198749,0,0
1758198750,0,0
1758198751,0,0
1758198752,0,0
1758198753,0,0
1758198754,0,0
1758198755,0,0
1758198756,0,0
1758198757,0,0
1758198758,0,0
1758198759,0,0
1758198760,0,0
1758198761,0,0
1758198762,0,0
1758198763,0,0
1758198764,0,0
1758198765,0,0
1758198766,0,0
1758198767,0,0
1758198768,0,0
1758198769,0,0
1758198770,0,0
1758198771,0,0
1758198772,0,0
1758198773,0,0
1758198774,0,0
1758198775,0,0
1758198776,0,0
1758198777,0,0
1758198778,0,0
1758198779,0,0
1758198780,0,0
1758198781,0,0
1758198782,0,0
1758198783,0,0
1758198784,0,0
1758198785,0,0
1758198786,0,0
1758198787,0,0
1758198788,0,0
1758198789,0,0
1758198790,0,0
1758198791,0,0
1758198792,0,0
1758198793,0,0
1758198794,0,0
1758198795,0,0
1758198796,0,0
1758198797,0,0
1758198798,0,0
1758198799,0,0
1758198800,0,0
1758198801,0,0
1758198802,0,0
1758198803,0,0
1758198804,0,0
1758198805,0,0
1758198806,0,0
1758198807,0,0
1758198808,0,0
1758198809,0,0
1758198810,0,0
1758198811,0,0
1758198812,0,0
1758198813,0,0
1758198814,0,0
1758198815,0,0
1758198816,0,0
1758198817,0,0
1758198818,0,0
1758198819,0,0
1758198820,0,0
1758198821,0,0
1758198822,0,0
1758198823,0,0
1758198824,0,0
1758198825,0,0
1758198826,0,0
1758198827,0,0
1758198828,0,0
1758198829,0,0
1758198830,0,0
1758198831,0,0
1758198832,0,0
1758198833,0,0
1758198834,0,0
1758198835,0,0
1758198836,0,0
1758198837,0,0
1758198838,0,0
1758198839,0,0
1758198840,0,0
1758198841,0,0
1758198842,0,0
1758198843,0,0
1758198844,0,0
1758198845,0,0
1758198846,0,0
1758198847,0,0
1758198848,0,0
1758198849,0,0
1758198850,0,0
1758198851,0,0
1758198852,0,0
1758198853,0,0
1758198854,0,0
1758198855,0,0
1758198856,0,0
1758198857,0,0
1758198858,0,0
1758198859,0,0
1758198860,0,0
1758198861,0,0
1758198862,0,0
1758198863,0,0
1758198864,0,0
1758198865,0,0
1758198866,0,0
1758198867,0,0
1758198868,0,0
1758198869,0,0
1758198870,0,0
1758198871,0,0
1758198872,0,0
1758198873,0,0
1758198874,0,0
1758198875,0,0
1758198876,0,0
1758198877,0,0
1758198878,0,0
1758198879,0,0
1758198880,0,0
1758198881,0,0
1758198882,0,0
1758198883,0,0
1758198884,0,0
1758198885,0,0
1758198886,0,0
1758198887,0,0
1758198888,0,0
1758198889,0,0
1758198890,0,0
1758198891,0,0
1758198892,0,0
1758198893,0,0
1758198894,0,0
1758198895,0,0
1758198896,0,0
1758198897,0,0
1758198898,0,0
1758198899,0,0
1758198900,0,0
1758198901,0,0
1758198902,0,0
1758198903,0,0
1758198904,0,0
1758198905,0,0
1758198906,0,0
1758198907,0,0
1758198908,0,0
1758198909,0,0
1758198910,0,0
1758198911,0,0
1758198912,0,0
1758198913,0,0
1758198914,0,0
1758198915,0,0
1758198916,0,0
1758198917,0,0
1758198918,0,0
1758198919,0,0
1758198920,0,0
1758198921,0,0
1758198922,0,0
1758198923,0,0
1758198924,0,0
1758198925,0,0
1758198926,0,0
1758198927,0,0
1758198928,0,0
1758198929,0,0
1758198930,0,0
1758198931,0,0
1758198932,0,0
1758198933,0,0
1758198934,0,0
1758198935,0,0
1758198936,0,0
